Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,TrackStatus,LapTime_s,Year,GrandPrix,SessionType,compound_encoded,is_fresh_tyre,tyre_life_squared,stint_progress,deg_rate
PER,Red Bull Racing,2.0,1.0,SOFT,5.0,False,21,98.862,2023,Bahrain Grand Prix,R,0,0,25.0,0.2631578947368421,0.013917857142855867
PER,Red Bull Racing,3.0,1.0,SOFT,6.0,False,1,98.83,2023,Bahrain Grand Prix,R,0,0,36.0,0.3157894736842105,0.013917857142855867
PER,Red Bull Racing,4.0,1.0,SOFT,7.0,False,1,98.758,2023,Bahrain Grand Prix,R,0,0,49.0,0.3684210526315789,0.013917857142855867
PER,Red Bull Racing,5.0,1.0,SOFT,8.0,False,1,98.404,2023,Bahrain Grand Prix,R,0,0,64.0,0.42105263157894735,0.013917857142855867
PER,Red Bull Racing,6.0,1.0,SOFT,9.0,False,1,98.718,2023,Bahrain Grand Prix,R,0,0,81.0,0.47368421052631576,0.013917857142855867
PER,Red Bull Racing,7.0,1.0,SOFT,10.0,False,1,98.804,2023,Bahrain Grand Prix,R,0,0,100.0,0.5263157894736842,0.013917857142855867
PER,Red Bull Racing,8.0,1.0,SOFT,11.0,False,1,99.172,2023,Bahrain Grand Prix,R,0,0,121.0,0.5789473684210527,0.013917857142855867
PER,Red Bull Racing,9.0,1.0,SOFT,12.0,False,1,98.914,2023,Bahrain Grand Prix,R,0,0,144.0,0.631578947368421,0.013917857142855867
PER,Red Bull Racing,10.0,1.0,SOFT,13.0,False,1,99.085,2023,Bahrain Grand Prix,R,0,0,169.0,0.6842105263157895,0.013917857142855867
PER,Red Bull Racing,11.0,1.0,SOFT,14.0,False,1,99.249,2023,Bahrain Grand Prix,R,0,0,196.0,0.7368421052631579,0.013917857142855867
PER,Red Bull Racing,12.0,1.0,SOFT,15.0,False,1,99.197,2023,Bahrain Grand Prix,R,0,0,225.0,0.7894736842105263,0.013917857142855867
PER,Red Bull Racing,13.0,1.0,SOFT,16.0,False,1,99.336,2023,Bahrain Grand Prix,R,0,0,256.0,0.8421052631578947,0.013917857142855867
PER,Red Bull Racing,14.0,1.0,SOFT,17.0,False,1,98.739,2023,Bahrain Grand Prix,R,0,0,289.0,0.8947368421052632,0.013917857142855867
PER,Red Bull Racing,15.0,1.0,SOFT,18.0,False,1,98.608,2023,Bahrain Grand Prix,R,0,0,324.0,0.9473684210526315,0.013917857142855867
PER,Red Bull Racing,16.0,1.0,SOFT,19.0,False,1,98.77,2023,Bahrain Grand Prix,R,0,0,361.0,1.0,0.013917857142855867
PER,Red Bull Racing,19.0,2.0,SOFT,4.0,False,1,97.659,2023,Bahrain Grand Prix,R,0,0,16.0,0.2222222222222222,0.02645357142857086
PER,Red Bull Racing,20.0,2.0,SOFT,5.0,False,1,97.448,2023,Bahrain Grand Prix,R,0,0,25.0,0.2777777777777778,0.02645357142857086
PER,Red Bull Racing,21.0,2.0,SOFT,6.0,False,1,97.24,2023,Bahrain Grand Prix,R,0,0,36.0,0.3333333333333333,0.02645357142857086
PER,Red Bull Racing,22.0,2.0,SOFT,7.0,False,1,97.169,2023,Bahrain Grand Prix,R,0,0,49.0,0.3888888888888889,0.02645357142857086
PER,Red Bull Racing,23.0,2.0,SOFT,8.0,False,1,97.304,2023,Bahrain Grand Prix,R,0,0,64.0,0.4444444444444444,0.02645357142857086
